province,province_th,district_th,district,subdistrict_th,subdistrict
Bangkok,????????,??????,Bang Bon,??????,Bang Bon
Bangkok,????????,???????,Bang Kapi,???????,Hua Mak
Bangkok,????????,???????,Bang Kapi,????????,Khlong Chan
Bangkok,????????,?????,Bang Khae,?????,Bang Khae
Bangkok,????????,?????,Bang Khae,??????????,Bang Khae Nuea
Bangkok,????????,?????,Bang Khae,??????,Bang Phai
Bangkok,????????,?????,Bang Khae,???????,Lak Song
Bangkok,????????,??????,Bang Khen,??????????,Anusawari
Bangkok,????????,??????,Bang Khen,???????,Tha Raeng
Bangkok,????????,?????????,Bang Kho Laem,???????,Bang Khlo
Bangkok,????????,?????????,Bang Kho Laem,?????????,Bang Kho Laem
Bangkok,????????,?????????,Bang Kho Laem,???????????,Wat Phraya Krai
Bangkok,????????,???????????,Bang Khun Thian,?????,Samae Dam
Bangkok,????????,???????????,Bang Khun Thian,???????,Tha Kham
Bangkok,????????,?????,Bang Na,?????,Bang Na
Bangkok,????????,???????,Bang Phlat,????????,Bang Bamru
Bangkok,????????,???????,Bang Phlat,??????,Bang O
Bangkok,????????,???????,Bang Phlat,???????,Bang Phlat
Bangkok,????????,???????,Bang Phlat,?????????,Bang Yi Khan
Bangkok,????????,??????,Bang Rak,??????,Bang Rak
Bangkok,????????,??????,Bang Rak,??????????,Maha Phruettharam
Bangkok,????????,??????,Bang Rak,????,Silom
Bangkok,????????,??????,Bang Rak,????????,Si Phraya
Bangkok,????????,??????,Bang Rak,?????????,Suriyawong
Bangkok,????????,???????,Bang Sue,???????,Bang Sue
Bangkok,????????,???????,Bang Sue,?????????,Wong Sawang
Bangkok,????????,??????????,Bangkok Noi,????????????,Arun Amarin
Bangkok,????????,??????????,Bangkok Noi,????????????,Ban Chang Lo
Bangkok,????????,??????????,Bangkok Noi,??????????,Bang Khun Non
Bangkok,????????,??????????,Bangkok Noi,?????????,Bang Khun Si
Bangkok,????????,??????????,Bangkok Noi,???????,Sirirat
