zone_name,district_en
Zone 1,Bang Phlat
Zone 1,Dusit
Zone 1,Bangkok Noi
Zone 1,Pom Prap Sattru Phai
Zone 1,Phra Nakhon
Zone 1,Bangkok Yai
Zone 1,Khlong San
Zone 1,Thon Buri
Zone 1,Samphanthawong
Zone 2,Bang Sue
Zone 2,Chatuchak
Zone 2,Phaya Thai
Zone 2,Din Daeng
Zone 2,Huai Khwang
Zone 2,Ratchathewi
Zone 2,Pathum Wan
Zone 2,Watthana
Zone 2,Bang Rak
Zone 2,Sathon
Zone 2,Bang Kho Laem
Zone 2,Yan Nawa
Zone 2,Khlong Toei
Zone 3,Don Mueang
Zone 3,Sai Mai
Zone 3,Lak Si
Zone 3,Bang Khen
Zone 3,Lat Phrao
Zone 3,Khan Na Yao
Zone 3,Bueng Kum
Zone 3,Wang Thonglang
Zone 3,Bang Kapi
Zone 3,Saphan Sung
Zone 3,Prawet
Zone 3,Phra Khanong
Zone 3,Bang Na
Zone 3,Suan Luang
Zone 4,Khlong Sam Wa
Zone 4,Nong Chok
Zone 4,Min Buri
Zone 4,Lat Krabang
Zone 5,Thawi Watthana
Zone 5,Taling Chan
Zone 5,Nong Khaem
Zone 5,Bang Khae
Zone 5,Phasi Charoen
Zone 6,Chom Thong
Zone 6,Bang Bon
Zone 6,Bang Khun Thian
Zone 6,Thung Khru
Zone 6,Rat Burana
