store_code,district_en,sub_district_en,province_en,latitude,longitude
16181,Bang Khun Thian,Tha Kham,Bangkok,13.5497925,100.4206301
18121,Bang Khun Thian,Tha Kham,Bangkok,13.57239302,100.4217201
14611,Bang Khun Thian,Tha Kham,Bangkok,13.57110309,100.4401995
16807,Bang Khun Thian,Tha Kham,Bangkok,13.5823537,100.427109
10363,Bang Khun Thian,Samae Dam,Bangkok,13.59091041,100.387831
17308,Bang Khun Thian,Samae Dam,Bangkok,13.5967721,100.3855859
17943,Bang Khun Thian,Tha Kham,Bangkok,13.59129437,100.4298865
19048,Bang Khun Thian,Samae Dam,Bangkok,13.59887463,100.3925167
18726,Bang Khun Thian,Samae Dam,Bangkok,13.60374647,100.4040851
8042,Bang Khun Thian,Samae Dam,Bangkok,13.60662591,100.4030858
9283,Bang Khun Thian,Tha Kham,Bangkok,13.598236,100.432254
13676,Bang Khun Thian,Tha Kham,Bangkok,13.60618169,100.4274467
4953,Bang Khun Thian,Tha Kham,Bangkok,13.604823,100.432343
7476,Bang Khun Thian,Tha Kham,Bangkok,13.60520363,100.4347745
18754,Bang Khun Thian,Samae Dam,Bangkok,13.60860361,100.3831864
3643,Bang Khun Thian,Samae Dam,Bangkok,13.61393483,100.3821596
5671,Bang Khun Thian,Samae Dam,Bangkok,13.61429026,100.3824936
11385,Bang Khun Thian,Samae Dam,Bangkok,13.61102321,100.4037116
8839,Bang Khun Thian,Samae Dam,Bangkok,13.6173885,100.4021531
20242,Bang Khun Thian,Samae Dam,Bangkok,13.61765271,100.4017766
9913,Bang Khun Thian,Tha Kham,Bangkok,13.612121,100.437283
19537,Bang Khun Thian,Tha Kham,Bangkok,13.61381082,100.4371053
10405,Bang Khun Thian,Tha Kham,Bangkok,13.61680042,100.4414874
4865,Thung Khru,Thung Khru,Bangkok,13.60807277,100.5071466
19550,Thung Khru,Thung Khru,Bangkok,13.60795753,100.5128949
7316,Thung Khru,Bang Mot,Bangkok,13.60931404,100.5120926
13298,Thung Khru,Thung Khru,Bangkok,13.61769161,100.5116174
10132,Bang Bon,Khlong Bang Bon,Bangkok,13.62309602,100.3787848
19265,Bang Khun Thian,Samae Dam,Bangkok,13.62019527,100.3869616
8703,Bang Khun Thian,Samae Dam,Bangkok,13.62372095,100.3898154
11748,Bang Khun Thian,Samae Dam,Bangkok,13.62484356,100.393301
4452,Bang Khun Thian,Samae Dam,Bangkok,13.62151095,100.4012389
19603,Bang Khun Thian,Samae Dam,Bangkok,13.61855703,100.4059493
10255,Bang Khun Thian,Samae Dam,Bangkok,13.62779104,100.4000644
11347,Bang Khun Thian,Samae Dam,Bangkok,13.62074888,100.4233535
8248,Bang Khun Thian,Samae Dam,Bangkok,13.62200462,100.425542
17117,Bang Khun Thian,Samae Dam,Bangkok,13.62681403,100.4166162
