id,province,district,subdistrict,address,property_type,total_units,bedrooms,baths,floor_area,floor_level,land_area,latitude,longitude,nearby_stations,nearby_bus_stops,nearby_supermarkets,nearby_shops,year_built,month_built,price,price_sqm
8448321,Bangkok,Watthana,Phra Khanong Nuea,"36 Soi Sukhumvit 63, Ekamai Road",Condo,273.0,2.0,2.0,66,10.0,,13.7219444078,100.5848502884,2,,16.0,20,2011,June,8500000,128787.87878787878
10936325,Bangkok,Watthana,Khlong Toei Nuea,31 สุขุมวิท,Condo,74.0,1.0,1.0,49,8.0,,13.741904,100.566949,3,,11.0,20,2012,September,5900000,120408.16326530612
10927931,Bangkok,Khlong Toei,Khlong Tan,"68 Sukhumvit 24 Alley, Khong Tan",Condo,940.0,1.0,1.0,34,4.0,,13.7253952835,100.5656595582,2,,20.0,20,2017,January,6290000,185000.0
11004792,Nonthaburi,Bang Kruai,Bang Khun Kong,Bang Khun Kong,Detached House,,3.0,3.0,170,2.0,248.0,13.8216875,100.4284375,0,,2.0,4,0,,8900000,
10757452,Nonthaburi,Mueang Nonthaburi,Bang Phai,พระราม5-นครอินทร์,Townhouse,,3.0,2.0,120,2.0,72.0,13.8658492,100.4941285,1,,6.0,15,0,,2390000,
10879034,Bangkok,Bang Rak,Si Phraya,เจริญกรุง 30,Condo,211.0,1.0,1.0,54,6.0,,13.726234999999999,100.516179,3,,14.0,20,2014,December,8549000,158314.8148148148
10829681,Nonthaburi,Pak Kret,Pak Kret,"Soi Tiwanon - Pakkret 17, Tiwanon Road",Condo,851.0,2.0,1.0,59,4.0,,13.914101,100.506769,0,20.0,2.0,9,2014,July,1950000,33050.84745762712
10615656,Bangkok,Sai Mai,Sai Mai,สายไหม 15,Townhouse,,2.0,2.0,105,2.0,72.0,13.9023034,100.6432195,0,,6.0,6,0,,1990000,
10611729,Bangkok,Watthana,Khlong Tan Nuea,Sukhumvit Road,Condo,572.0,1.0,1.0,52,12.0,,13.7401356399,100.5851628565,0,20.0,17.0,20,2010,June,7200000,138461.53846153847
10827236,Bangkok,Pathum Wan,Lumphini,55 Langsuan Road,Condo,247.0,1.0,1.0,61,11.0,,13.7395782382,100.543447292,3,,12.0,19,2004,March,3500000,57377.04918032787
10918223,Bangkok,Chatuchak,Lat Yao,2033 Phaholyothin Road,Condo,768.0,2.0,1.0,46,2.0,,13.838551,100.57451,2,20.0,7.0,10,2014,February,4300000,93478.26086956522
10922676,Samut Prakan,Mueang Samut Prakan,Thepharak,Thepharak,Townhouse,,3.0,3.0,108,2.0,132.0,13.6309772,100.6168401,0,,13.0,6,0,,3230000,
10892608,Bangkok,Prawet,Dok Mai,Dok Mai,Townhouse,,4.0,2.0,117,2.0,76.0,13.6759375,100.6940625,0,3.0,1.0,4,0,,3600000,
10720889,Nonthaburi,Bang Bua Thong,Phimon Rat,Phimonrat,Townhouse,,4.0,3.0,110,2.0,128.0,13.9153875,100.3984844,0,,7.0,7,0,,2900000,
10754391,Bangkok,Chatuchak,Chom Phon,. ซอยลาดพร้าว 7 แขวงจอมพล เขตจตุจักร กทม.,Condo,97.0,1.0,1.0,40,6.0,,13.810435,100.567543,3,,12.0,20,2017,June,4390000,109750.0
10561994,Bangkok,Huai Khwang,Huai Khwang,ถนน ประชาอุทิศ,Condo,875.0,2.0,1.0,60,2.0,,13.775817,100.575734,1,,20.0,20,2014,February,3650000,60833.333333333336
7616895,Bangkok,Phra Khanong,Bang Chak,2578 Soi Sukhumvit 66 Sukhumvit Road,Condo,298.0,1.0,1.0,35,24.0,,13.681451,100.609938,1,,11.0,14,2017,January,5400000,154285.7142857143
10906912,Bangkok,Suan Luang,Suan Luang,Ramkhamhaeng Road,Condo,1003.0,1.0,1.0,23,18.0,,13.743283,100.603216,1,,9.0,8,2018,January,1780000,77391.30434782608
10540762,Bangkok,Watthana,Khlong Tan Nuea,32/2 Sukhumvit 39 Road,Condo,135.0,1.0,1.0,44,18.0,,13.740195,100.57825,0,20.0,18.0,20,2015,August,6300000,143181.81818181818
10980009,Bangkok,Bang Rak,Si Phraya,Si Phraya Road,Condo,384.0,1.0,1.0,52,18.0,,13.7312279445,100.5221258679,1,,13.0,20,2023,,5950000,114423.07692307692
9855083,Bangkok,Huai Khwang,Huai Khwang,ถนน ประชาอุทิศ,Condo,875.0,2.0,1.0,60,5.0,,13.775817,100.575734,1,,20.0,20,2014,February,3890000,64833.333333333336
9840544,Bangkok,Bangkok Yai,Wat Tha Phra,901 Soi Charan Sanitwong 3 Charan Sanitwong Road Yai,Condo,1932.0,1.0,1.0,28,8.0,,13.732507,100.467091,3,,3.0,1,2016,June,1590000,56785.71428571428
10724511,Nonthaburi,Pak Kret,Pak Kret,Chaengwattana Road,Condo,427.0,1.0,1.0,34,6.0,,13.9066980718,100.5249365681,0,10.0,7.0,10,2016,February,2100000,61764.705882352944
11010958,Bangkok,Bueng Kum,Nuan Chan,"900 Soi Prasert Manutak 33, Kaset - Nawamin Road",Condo,1019.0,1.0,1.0,39,5.0,,13.8252937333,100.6306763459,0,20.0,8.0,20,2010,April,2700000,69230.76923076923
10818702,Bangkok,Bueng Kum,Khlong Kum,. ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร,Condo,505.0,1.0,1.0,26,6.0,,13.776403,100.661409,0,20.0,7.0,10,2019,September,1860000,71538.46153846153
10848712,Bangkok,Watthana,Khlong Tan Nuea,175-179 Soi Sukhumvit 39 Sukhumvit Road,Condo,500.0,2.0,1.0,119,18.0,,13.743154,100.573438,0,20.0,12.0,13,1994,April,7200000,60504.20168067227
10986761,Bangkok,Bang Kapi,Khlong Chan,5 Lat Phrao Rd,Condo,751.0,2.0,2.0,55,2.0,,13.7706364,100.6301829,0,19.0,15.0,6,2010,January,2790000,50727.27272727273
10975031,Nonthaburi,Bang Kruai,Bang Khun Kong,999/71 นครอืนทร์,Detached House,,3.0,3.0,179,2.0,336.0,13.8213363,100.4424658,0,5.0,7.0,8,0,,8580000,
10114191,Bangkok,Watthana,Khlong Tan Nuea,Sukhumvit 61 Road,Condo,168.0,1.0,1.0,43,18.0,,13.722653,100.583041,2,,19.0,20,2013,February,6200000,144186.0465116279
10716249,Bangkok,Sai Mai,Sai Mai,Saimai Road,Townhouse,250.0,3.0,2.0,72,2.0,76.0,13.921263,100.663648,0,14.0,8.0,4,2017,,2500000,
10620204,Bangkok,Khlong Toei,Phra Khanong,Soi Sukhumvit 48,Condo,612.0,2.0,1.0,47,16.0,,13.711724,100.594785,2,,20.0,17,2018,December,5700000,121276.59574468085
11028835,Nonthaburi,Mueang Nonthaburi,Bang Khen,Bang Khen,Detached House,,3.0,3.0,160,2.0,240.0,13.8659345374,100.494220187,1,,6.0,15,0,,7890000,
10891387,Bangkok,Nong Khaem,Nong Khaem,Nong Kham,Detached House,,2.0,2.0,120,2.0,72.0,13.6958125,100.3408125,0,17.0,11.0,4,0,,3708000,
10675303,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,72 Soi Sukhumvit Sukhumvit Road,Condo,987.0,1.0,1.0,32,18.0,,13.6593142974,100.5975552692,1,,7.0,20,2017,January,2100000,65625.0
10901106,Samut Prakan,Bang Phli,Bang Pla,43/3 Thepharak Road,Townhouse,279.0,3.0,2.0,230,2.0,336.0,13.576934,100.724976,0,,7.0,1,0,,4590000,
10880059,Bangkok,Khan Na Yao,Ram Inthra,"Soi Ramindhra 78, Nawamin Road - Ramintra Road",Condo,2568.0,1.0,1.0,22,14.0,,13.8366642188,100.6621166098,0,20.0,19.0,13,2012,December,990000,45000.0
10869807,Nonthaburi,Mueang Nonthaburi,Bang Khen,Nakhon In,Condo,1544.0,1.0,1.0,35,18.0,,13.83663,100.504437,0,20.0,5.0,3,2015,April,1490000,42571.42857142857
10753754,Samut Prakan,Phra Samut Jadee,Nai Khlong Bang Pla Kot,ประชาอุทิศ-วัดคู่สร้าง,Townhouse,,3.0,3.0,139,2.0,92.0,13.5875125,100.5223594,0,15.0,9.0,3,0,,2200000,
10818097,Nonthaburi,Bang Bua Thong,Bang Rak Phatthana,Janthongeam Road,Condo,1870.0,1.0,1.0,23,5.0,,13.88957,100.405623,1,,9.0,13,2015,December,1100999,47869.52173913043
10147102,Samut Prakan,Bang Phli,Bang Kaeo,90/239 Burapha Withi Expressway,Townhouse,238.0,3.0,4.0,190,2.0,88.0,13.6625843453,100.6543250531,0,12.0,4.0,6,2013,,8800000,
10525811,Nonthaburi,Bang Yai,Bang Len,1 บางกรวย-ไทรน้อย,Detached House,,6.0,5.0,222,2.0,216.0,13.8621125,100.5143528,1,,6.0,12,0,,8700000,
